id,name,type,requester,owners,description,is_completed,created_at,started_at,updated_at,moved_at,completed_at,estimate,external_ticket_count,external_tickets,is_blocked,is_a_blocker,due_date,labels,epic_labels,tasks,state,epic_id,epic,project_id,project,iteration_id,iteration,utc_offset,is_archived,team_id,team,epic_state,epic_is_archived,epic_created_at,epic_started_at,epic_due_date,objective_id,objective,objective_state,objective_created_at,objective_started_at,objective_due_date,objective_categories,epic_planned_start_date,workflow,workflow_id,priority,severity,product_area,skill_set,technical_area,custom_fields,parent_story_id
4076,Enabling the sales reps to do deeper discovery questions,feature,brian@realm.security,,"Requestor - Pete

More about what we can do.  Can we get a list of the integrations for the next 3 months.  Devon - We should take the whole list down to 45.  

There will be some we don't have.  If we hear them we just make notes.",false,2025/12/05 11:24:30,,2025/12/05 11:26:34,2025/12/05 11:24:30,,,0,,false,false,,,,,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
4067,"Remove the concept of ""monthly events""",feature,brian@realm.security,,"Requestor - Devon

Status review (2025-12-08):
- Metrics, tooltips, and calculations now reference daily throughput only.
- Verified in index.html lines 243-305 and src/main.ts lines 232-269.
",false,2025/12/05 10:50:54,,2025/12/05 10:50:54,2025/12/05 10:50:54,,,0,,false,false,,,,,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,

4068,Display: Average log reduction %  i could get with a tool like realm based on my sources,feature,brian@realm.security,,"Requestor - Devon
",false,2025/12/05 10:51:33,,2025/12/05 10:53:37,2025/12/05 10:51:33,,,0,,false,false,,,,[ ] 1. Projected annual savings from that reduction based on the SIEM cost,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
4077,Update the source,feature,brian@realm.security,,"Requestor - Devon 
Should include every item  here:

[Data Source - Priority - Google Sheets](https://docs.google.com/spreadsheets/d/13HWvQryYTeurnYlyU1XTXNMvxmnIlmo7zv34nGffZDo/edit?gid=0#gid=0)",false,2025/12/05 11:27:55,,2025/12/05 11:30:12,2025/12/05 11:27:55,,,0,,false,false,,,,,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
4070,Display: Costs,feature,brian@realm.security,,"Requestor - Devon

Cost Data provided by Pete - 
$500k for 1TB in SIEM, Realm costs $70k per TB which includes data haven.
Brian - Costs of REAM is from product costs in Hubspot.
Firewall - 70%, Network - 60%, Endpoint - 50% reduction - Pete (Make it fixed points, and remove any nunance data from customers).

Total savings relative to cost of Realm, output would be an ROI ratio, total data reduced, aggregate volume and ratio relative to realm.  

Said another way

Output will be total percentage of reduction, aggregate volume reduced and ratio of ROI. if we are saving them 220 and its 2X the cost of Realm. - Pete

Says ""Including the cost of REALM.  It needs to be super clear."" - Devon

Unlike our competitors we are transparent about our costs, and our integrations. - Matt",false,2025/12/05 10:52:08,,2025/12/05 11:20:34,2025/12/05 10:52:08,,,0,,false,false,,,,[ ] Total Cost including Realm Focus (should include realm annual price);[ ] Total Cost without Realm Focus (should be much higher),Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
4073,Capture Data for Each Rep,feature,brian@realm.security,,Requestor - Pete,false,2025/12/05 10:53:24,,2025/12/05 11:29:49,2025/12/05 10:53:24,,,0,,false,false,,,,,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
4074,"Agreement on The Associated Costs, and Reductions",feature,brian@realm.security,,Requestor: Brian,false,2025/12/05 10:53:58,,2025/12/05 10:53:58,2025/12/05 10:53:58,,,0,,false,false,,,,,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
4075,"Elimination of any speculation or ""Bullshit"" before production",feature,brian@realm.security,,"Requestor - Matt

If it comes across as a marketing tool.  If it's a honest as we can be it has value otherwise, we shouldn't do anything else.  This will help us gain credibility if we don't have anything to defend.  

Even a sales person could do it.  Matt will give you a demo you don't have to POC.  We've already established the ROI, youve agreed functionality and usecase has value. ",false,2025/12/05 11:21:29,,2025/12/05 11:29:55,2025/12/05 11:21:29,,,0,,false,false,,,,,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
4066,Display the associated Realm Costs in plain terms,feature,brian@realm.security,,Requestor - Devon,false,2025/12/05 10:50:32,,2025/12/05 10:50:32,2025/12/05 10:50:32,,,0,,false,false,,,,,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
4065,Remove Source costs,feature,brian@realm.security,,Requestor - Pete,false,2025/12/05 10:49:05,,2025/12/05 10:49:05,2025/12/05 10:49:05,,,0,,false,false,,,,,Backlog,4064,Realm Cost Calculator V2,,,,,-05:00,false,67f3f34d-e8c7-46dd-93de-0ea822350c17,Sales Enablement,to do,false,2025/12/05 10:48:49,,,,,,,,,,,Standard,500000005,,,,,,,
